Rank,County,Population
1,Harris,4602523.0
2,Dallas,2586552.0
3,Tarrant,2019977.0
4,Bexar,1925865.0
5,Travis,1203166.0
6,Collin,944350.0
7,Hidalgo,849389.0
8,El Paso,837654.0
9,Denton,807047.0
10,Fort Bend,739342.0
11,Montgomery,554445.0
12,Williamson,527057.0
13,Cameron,421750.0
14,Nueces,360486.0
15,Brazoria,353999.0
16,Bell,342236.0
17,Galveston,327089.0
18,Lubbock,301454.0
19,Webb,272053.0
20,Jefferson,255210.0
21,McLennan,248429.0
22,Smith,225015.0
23,Brazos,219193.0
24,Hays,204150.0
25,Ellis,168838.0
26,Midland,164194.0
27,Johnson,163475.0
28,Ector,158342.0
29,Guadalupe,155137.0
30,Taylor,136348.0
31,Comal,135097.0
32,Randall,132475.0
33,Wichita,131818.0
34,Parker,129802.0
35,Grayson,128560.0
36,Gregg,123494.0
37,Potter,120899.0
38,Kaufman,118910.0
39,Tom Green,117466.0
40,Bowie,93858.0
41,Rockwall,93642.0
42,Hunt,92152.0
43,Victoria,91970.0
44,Angelina,87607.0
45,Orange,84047.0
46,Bastrop,82577.0
47,Liberty,81862.0
48,Henderson,80460.0
49,Coryell,75389.0
50,Walker,71539.0
51,San Patricio,67046.0
52,Harrison,66645.0
53,Nacogdoches,65558.0
54,Wise,64639.0
55,Starr,63894.0
56,Maverick,57970.0
57,Anderson,57863.0
58,Hood,56901.0
59,Hardin,56379.0
60,Van Zandt,54368.0
61,Rusk,53595.0
62,Cherokee,51903.0
63,Kerr,51365.0
64,Waller,49987.0
65,Lamar,49532.0
66,Medina,49334.0
67,Val Verde,49027.0
68,Atascosa,48828.0
69,Navarro,48583.0
70,Wilson,48198.0
71,Polk,47837.0
72,Burnet,45750.0
73,Wood,43815.0
74,Kendall,41982.0
75,Wharton,41551.0
76,Erath,41482.0
77,Caldwell,41401.0
78,Jim Wells,41192.0
79,Upshur,40769.0
80,Chambers,40292.0
81,Cooke,39571.0
82,Brown,37834.0
83,Matagorda,36743.0
84,Howard,36667.0
85,Hopkins,36240.0
86,Jasper,35504.0
87,Hill,35399.0
88,Washington,34796.0
89,Fannin,34175.0
90,Hale,34113.0
91,Titus,32730.0
92,Bee,32691.0
93,Kleberg,31425.0
94,Cass,30087.0
95,Austin,29565.0
96,Palo Pinto,28317.0
97,San Jacinto,27819.0
98,Grimes,27630.0
99,Uvalde,27009.0
100,Gillespie,26208.0
101,Shelby,25478.0
102,Fayette,25066.0
103,Aransas,24763.0
104,Milam,24664.0
105,Limestone,23515.0
106,Panola,23440.0
107,Hockley,23162.0
108,Houston,22955.0
109,Gray,22685.0
110,Calhoun,21807.0
111,Moore,21801.0
112,Bandera,21763.0
113,Willacy,21754.0
114,Hutchinson,21571.0
115,Tyler,21496.0
116,Colorado,21022.0
117,Gonzales,20667.0
118,"Lampasas 20,640",
118,Llano,20640.0
120,DeWitt,20435.0
121,Gaines,20321.0
122,Lavaca,19941.0
123,Jones,19891.0
124,Freestone,19709.0
125,Montague,19409.0
126,Frio,19394.0
127,Deaf Smith,18899.0
128,Eastland,18270.0
129,Bosque,18122.0
130,Young,18114.0
131,Burleson,17863.0
132,Andrews,17818.0
133,Falls,17299.0
134,Scurry,17239.0
135,Leon,17098.0
136,Lee,16952.0
137,Robertson,16890.0
138,Pecos,15797.0
139,Karnes,15387.0
140,Reeves,15125.0
141,Nolan,14966.0
142,Jackson,14820.0
143,Trinity,14569.0
144,Zapata,14369.0
145,Madison,14128.0
146,Newton,14057.0
147,Callahan,13770.0
148,Comanche,13495.0
149,Lamb,13262.0
150,Dawson,12964.0
151,Wilbarger,12906.0
152,Camp,12813.0
153,Terry,12615.0
154,Morris,12424.0
155,Red River,12275.0
156,Zavala,12131.0
157,Live Oak,12123.0
158,Ward,11586.0
159,Rains,11473.0
160,Duval,11355.0
161,Blanco,11279.0
162,Franklin,10679.0
163,Dimmit,10663.0
164,Sabine,10458.0
165,Clay,10387.0
166,Ochiltree,10348.0
167,Runnels,10310.0
168,Marion,10083.0
169,Parmer,9852.0
170,Stephens,9372.0
171,Brewster,9216.0
172,Jack,8842.0
173,Archer,8789.0
174,Somervell,8743.0
175,Yoakum,8571.0
176,Mitchell,8558.0
177,Coleman,8391.0
178,San Augustine,8327.0
179,Hamilton,8269.0
180,McCulloch,8098.0
181,Winkler,7802.0
182,Castro,7787.0
183,Goliad,7531.0
184,Swisher,7484.0
185,La Salle,7409.0
186,Dallam,7243.0
187,Refugio,7236.0
188,Childress,7226.0
189,Brooks,7180.0
190,Presidio,7123.0
191,Bailey,7092.0
192,Garza,6288.0
193,Carson,6032.0
194,San Saba,5962.0
195,Floyd,5872.0
196,Crosby,5861.0
197,Haskell,5809.0
198,Lynn,5808.0
199,Hartley,5767.0
200,Martin,5614.0
201,Hansford,5547.0
202,Wheeler,5482.0
203,Jim Hogg,5282.0
204,Delta,5215.0
205,Mills,4902.0
206,Crane,4839.0
207,Kimble,4408.0
208,Concho,4233.0
209,Mason,4161.0
210,Hudspeth,4098.0
211,Hemphill,4061.0
212,Hardeman,3952.0
213,Fisher,3883.0
214,Sutton,3865.0
215,Reagan,3752.0
216,Knox,3733.0
217,Kinney,3675.0
218,Upton,3634.0
219,Crockett,3633.0
220,Baylor,3591.0
221,Lipscomb,3469.0
222,Real,3389.0
223,Donley,3387.0
224,Shackelford,3311.0
225,Coke,3275.0
226,Hall,3074.0
227,Schleicher,3061.0
228,Sherman,3058.0
229,Collingsworth,2996.0
230,Cochran,2904.0
231,Culberson,2241.0
232,Jeff Davis,2234.0
233,Dickens,2216.0
234,Menard,2123.0
235,Oldham,2090.0
236,Edwards,2055.0
237,Armstrong,1916.0
238,Cottle,1623.0
239,Throckmorton,1567.0
240,Briscoe,1546.0
241,Irion,1524.0
242,Glasscock,1430.0
243,Foard,1408.0
244,Stonewall,1385.0
245,Motley,1156.0
246,Sterling,1141.0
247,Roberts,885.0
248,Terrell,862.0
249,Kent,749.0
250,Borden,665.0
251,McMullen,662.0
252,Kenedy,595.0
253,King,228.0
254,Loving,102.0
